JD,Bmag,Berr,Jmag,Jerr
2456747.73154,16.727,0.007,14.7,0.015
2456752.72635,16.717,0.007,14.604,0.014
2456754.68645,16.724,0.009,14.548,0.017
2456755.74008,16.531,0.008,14.702,0.018
2456758.77408,16.704,0.012,14.664,0.019
2456759.80898,16.619,0.009,14.486,0.013
2456761.75354,16.658,0.015,14.539,0.013
2456762.83818,null,null,14.499,0.013
2456763.79486,16.731,0.023,14.642,0.014
2456766.75934,16.74,0.012,14.782,0.015
2456767.72918,16.769,0.01,14.743,0.014
2456768.68353,null,null,14.777,0.015
2456769.77124,16.788,0.008,14.8,0.017
2456770.60654,16.824,0.01,14.805,0.02
2456771.82233,16.727,0.008,14.805,0.017
2456772.74967,16.706,0.007,14.585,0.013
2456773.71352,16.686,0.007,null,null
2456775.69727,16.721,0.007,null,null
2456776.58385,16.61,0.008,null,null
2456777.65409,null,null,null,null
2456778.77236,16.685,0.038,null,null
2456779.63015,16.695,0.009,null,null
2456784.55643,16.667,0.01,14.669,0.017
2456785.66618,16.672,0.01,14.539,0.015
2456786.57881,16.463,0.009,14.096,0.01
2456787.60489,16.602,0.118,null,null
2456788.56458,16.248,0.09,14.293,0.07
2456789.59246,16.416,0.013,14.239,0.012
2456790.62025,16.587,0.019,14.492,0.014
2456794.76042,16.619,0.014,14.516,0.016
2456795.70681,16.554,0.01,14.355,0.012
2456797.63667,16.324,0.008,14.001,0.013
2456801.6598,16.38,0.006,14.132,0.013
2456802.79554,16.455,0.007,14.228,0.015
2456803.73964,16.55,0.012,14.277,0.027
2456804.62176,16.394,0.006,14.229,0.011
2456805.69816,16.549,0.006,14.404,0.011
2456809.64071,16.639,0.006,14.507,0.014
2456810.53014,16.615,0.007,14.429,0.012
2456811.58831,16.616,0.006,14.576,0.013
2456816.7625,16.623,0.013,14.528,0.02
2456827.49917,16.712,0.007,14.735,0.016
2456829.51556,16.74,0.017,14.48,0.056
2456831.52183,16.688,0.007,null,null
2456832.68571,16.73,0.01,14.736,0.025
2456834.60398,16.655,0.007,14.567,0.017
2456836.57857,16.735,0.007,14.805,0.015
2456838.53363,16.696,0.007,14.58,0.013
2456841.57376,16.703,0.032,14.684,0.042
2456842.55665,16.677,0.024,14.578,0.04
2456841.57376,16.703,0.032,14.684,0.042
2456842.55665,16.677,0.024,14.578,0.04
2456848.65027,16.706,0.019,14.692,0.015
2456851.60865,16.699,0.017,14.699,0.015
2456852.59453,16.646,0.012,14.531,0.014
2456855.65165,16.56,0.009,14.475,0.015
2456856.6258,16.626,0.007,14.469,0.014
2456871.52063,16.401,0.007,14.07,0.012
2456872.56927,16.474,0.011,14.171,0.013
2456873.57226,16.502,0.011,14.221,0.012
2456874.52522,16.478,0.012,14.194,0.018
2456876.51703,16.441,0.011,14.023,0.01
2456877.51707,16.355,0.01,13.918,0.01
2456878.53428,16.459,0.013,13.95,0.011
2456879.52676,16.525,0.014,14.017,0.014
2456882.49977,16.548,0.006,14.28,0.011
2456883.4765,16.609,0.013,14.426,0.024
2456864.55677,16.592,0.007,14.403,0.012
2456890.49666,16.649,0.007,14.438,0.013
2456891.52299,16.646,0.007,14.46,0.013
2456894.5315,16.729,0.008,14.722,0.021
2456908.48378,16.58,0.04,14.655,0.035
2456916.49159,16.509,0.016,14.515,0.033
2457043.81352,17.011,0.011,14.89,0.018
2457044.86782,null,null,14.981,0.016
2457050.85888,16.731,0.008,14.431,0.012
2457052.83714,15.329,0.003,14.602,0.013
2457053.83173,16.905,0.009,14.791,0.016
2457054.81827,16.771,0.013,14.546,0.013
2457055.82756,16.562,0.014,14.28,0.011
2457056.80709,16.563,0.016,14.171,0.01
2457057.7989,16.638,0.02,14.37,0.011
2457059.8386,16.823,0.017,14.604,0.013
